N	NI	D	RH	RM	RS	V	DG	DM	DS	VMAG
N	337		1	1	33.7	-	7	35	18	12.2
N	338	*	1	0	36.5	+	30	40	9	12.8
N	339	*	0	57	45.0	-	74	28	20	12.8
N	340	*	1	0	34.8	-	6	51	58	13.7
N	341	*	1	0	45.8	-	9	11	10	13.0
N	341		1	0	45.8	-	9	11	10	13.0
N	341		1	0	47.6	-	9	11	14	15.8
N	342	*	1	0	49.8	-	6	46	20	14.4
N	343	*	0	58	23.9	-	23	13	28	15.5
N	344	*	0	58	25.4	-	23	13	44	16.1
N	345	*	1	1	22.0	-	6	53	3	13.9
N	346	*	0	59	5.0	-	72	10	38	
N	347	*	1	1	35.1	-	6	44	1	14.8
N	348	*	1	0	51.8	-	53	14	42	13.8
N	349	*	1	1	50.7	-	6	47	59	13.1
N	350	*	1	1	56.6	-	6	47	43	14.4
N	351	*	1	1	57.8	-	1	56	11	13.2
N	352	*	1	2	9.1	-	4	14	43	12.6
N	353	*	1	2	24.6	-	1	57	25	13.7
N	354	*	1	3	16.3	+	22	20	34	13.5
N	355	*	1	3	6.9	-	6	19	25	15.3
N	356	*	1	3	7.0	-	6	59	17	13.1
N	357	*	1	3	21.8	-	6	20	21	12.0
N	358	*	1	5	10.8	+	62	1	16	
N	359	*	1	4	16.9	-	0	45	52	13.4
N	360	*	1	2	51.5	-	65	36	32	12.5
N	361	*	1	2	11.1	-	71	36	24	
N	362	*	1	3	14.3	-	70	50	52	6.8
N	363	*	1	6	15.7	-	16	32	32	14.7
N	364	*	1	4	40.8	-	0	48	10	13.1
N	365	*	1	4	18.6	-	35	7	20	13.4
N	366	*	1	6	25.9	+	62	13	44	
N	367	*	1	5	48.9	-	12	7	42	14.7
N	368	*	1	4	21.9	-	43	16	34	13.8
N	369	*	1	5	8.8	-	17	45	33	13.8
N	370	*	1	6	44.6	+	32	25	45	
N	371	*	1	3	26.0	-	72	3	54	
N	372	*	1	6	44.6	+	32	25	45	
N	373	*	1	6	58.3	+	32	18	32	14.9
N	374	*	1	7	5.8	+	32	47	41	13.5
N	375	*	1	7	5.8	+	32	20	55	14.5
N	376	*	1	3	53.4	-	72	49	26	10.9
N	377	*	1	6	35.1	-	20	19	53	15.1
N	378	*	1	6	12.0	-	30	10	41	13.1
